content_type,post_id,title,slug,old_url,new_url
funded-loan,8188,Conventional 30 year fixed in Beaumont CA 92223,conventional-30-year-fixed-in-beaumont-ca-92223,http://localhost:8090/funded-loan/conventional-30-year-fixed-in-beaumont-ca-92223/,/funded-loans/conventional-30-year-fixed-in-beaumont-ca-92223/
funded-loan,8184,Conventional 30 Years Fixed Mortgage  In San Dimas CA 91773,conventional-30-years-fixed-mortgage-in-san-dimas-ca-91773,http://localhost:8090/funded-loan/conventional-30-years-fixed-mortgage-in-san-dimas-ca-91773/,/funded-loans/conventional-30-years-fixed-mortgage-in-san-dimas-ca-91773/
funded-loan,8179,"Non QM Profit and Loss OO Fixed in Santa Rosa Valley, CA 93012",non-qm-profit-and-loss-oo-fixed-in-santa-rosa-valley-ca-93012,http://localhost:8090/funded-loan/non-qm-profit-and-loss-oo-fixed-in-santa-rosa-valley-ca-93012/,/funded-loans/non-qm-profit-and-loss-oo-fixed-in-santa-rosa-valley-ca-93012/
funded-loan,8174,"Non QM Profit and loss Mortgage In Simi Valley, CA 93065",non-qm-profit-and-loss-mortgage-in-simi-valley-ca-93065,http://localhost:8090/funded-loan/non-qm-profit-and-loss-mortgage-in-simi-valley-ca-93065/,/funded-loans/non-qm-profit-and-loss-mortgage-in-simi-valley-ca-93065/
funded-loan,8170,"Hard Money 2nd mortgage primary residence in Lahaina, HI 96761",hard-money-2nd-td-lahaina-hi-96761,http://localhost:8090/funded-loan/hard-money-2nd-td-lahaina-hi-96761/,/funded-loans/hard-money-2nd-td-lahaina-hi-96761/
funded-loan,7643,"Hard Money Fix and Flip in San Dimas, CA 91773",hard-money-fix-and-flip-in-san-dimas-ca-91773,http://localhost:8090/funded-loan/hard-money-fix-and-flip-in-san-dimas-ca-91773/,/funded-loans/hard-money-fix-and-flip-in-san-dimas-ca-91773/
funded-loan,7635,"FHA VOE Only Purchase in Calabasas, CA 91302",fha-voe-only-purchase-in-calabasas-ca-91302,http://localhost:8090/funded-loan/fha-voe-only-purchase-in-calabasas-ca-91302/,/funded-loans/fha-voe-only-purchase-in-calabasas-ca-91302/
funded-loan,7628,"Nonqm Bank Statement Mortgage in Bell Canyon, CA 91307",nonqm-bank-statement-mortgage-in-bell-canyon-ca-91307,http://localhost:8090/funded-loan/nonqm-bank-statement-mortgage-in-bell-canyon-ca-91307/,/funded-loans/nonqm-bank-statement-mortgage-in-bell-canyon-ca-91307/
funded-loan,7621,"Profit and Loss Mortgage Refinance in Lahaina, HI 96761",profit-and-loss-mortgage-refinance-in-lahaina-hi-96761,http://localhost:8090/funded-loan/profit-and-loss-mortgage-refinance-in-lahaina-hi-96761/,/funded-loans/profit-and-loss-mortgage-refinance-in-lahaina-hi-96761/
funded-loan,7610,"Bank Statement Mortgage in Los Angeles CA, 90029",bank-statement-mortgage-in-los-angeles-ca,http://localhost:8090/funded-loan/bank-statement-mortgage-in-los-angeles-ca/,/funded-loans/bank-statement-mortgage-in-los-angeles-ca/
funded-loan,7541,"NonQM Profit and Loss Mortgage in Nipomo, CA 93444",funded-nonqm-profit-and-loss-purchase-nipomo-ca-93444,http://localhost:8090/funded-loan/funded-nonqm-profit-and-loss-purchase-nipomo-ca-93444/,/funded-loans/funded-nonqm-profit-and-loss-purchase-nipomo-ca-93444/
blog,7774,Financial Privacy Policy,financial-privacy-policy,http://localhost:8090/financial-privacy-policy/,/blog/financial-privacy-policy/
blog,3234,Recently Funded Stated Income Commercial Loans,self-declared-income-commercial-loans,http://localhost:8090/self-declared-income-commercial-loans/,/blog/self-declared-income-commercial-loans/
blog,3232,Stated Income Cash Out 70% LTV,stated-income-cash-out-70-ltv-2,http://localhost:8090/stated-income-cash-out-70-ltv-2/,/blog/stated-income-cash-out-70-ltv-2/
blog,3228,Super Jumbo Stated Mortgage Low Doc,super-jumbo-stated-mortgage-low-doc-3,http://localhost:8090/super-jumbo-stated-mortgage-low-doc-3/,/blog/super-jumbo-stated-mortgage-low-doc-3/
